City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
244,Sao Felix Do Xingu,BR,-6.6447,-51.995,76.59,87,61,1.23,broken clouds
245,Fort Nelson,CA,58.8053,-122.7002,-4.41,84,40,0.0,scattered clouds
246,Esperance,AU,-33.8667,121.9,55.24,74,0,16.98,clear sky
247,Port Augusta,AU,-32.5,137.7667,57.34,64,0,17.31,clear sky
248,Alghero,IT,40.5589,8.3181,56.98,100,40,2.3,fog
249,Nanchang,CN,28.6833,115.8833,59.77,87,99,8.28,overcast clouds
250,Kaeo,NZ,-35.1,173.7833,73.33,76,66,7.7,broken clouds
251,Zhangye,CN,38.9342,100.4517,20.89,66,95,2.93,overcast clouds
252,Luganville,VU,-15.5333,167.1667,81.23,73,100,1.72,light rain
253,Bilma,NE,18.6853,12.9164,78.15,22,29,4.12,scattered clouds
254,Nabire,ID,-3.3667,135.4833,77.79,89,100,1.81,overcast clouds
255,Faanui,PF,-16.4833,-151.75,80.65,74,25,18.03,scattered clouds
256,Cedar City,US,37.6775,-113.0619,53.4,43,75,12.66,broken clouds
257,Manokwari,ID,-0.8667,134.0833,79.52,77,100,1.99,overcast clouds
258,Mutis,CO,6.2262,-77.4044,77.67,89,74,6.22,light rain
259,Comodoro Rivadavia,AR,-45.8667,-67.5,71.46,43,40,23.02,light rain
260,Neyshabur,IR,36.2133,58.7958,42.98,34,8,1.07,clear sky
261,Adrar,MR,20.5022,-10.0711,80.4,23,98,8.5,overcast clouds
262,Sinnamary,GF,5.3833,-52.95,79.68,83,35,10.09,scattered clouds
263,Ust-Tsilma,RU,65.441,52.1498,26.08,95,100,7.47,light snow
264,Oxapampa,PE,-10.5775,-75.4017,63.36,83,94,2.28,overcast clouds
265,Arman,RU,59.7,150.1667,16.68,78,100,11.97,overcast clouds
266,Cabimas,VE,10.3883,-71.4399,85.8,62,48,10.16,scattered clouds
267,Wenling,CN,28.3669,121.36,59.92,86,45,4.23,scattered clouds
268,Tasiilaq,GL,65.6145,-37.6368,28.56,96,100,17.58,snow
269,Eslamshahr,IR,35.5605,51.2346,45.84,65,40,4.61,haze
270,Calama,CL,-22.4667,-68.9333,72.09,7,39,23.02,scattered clouds
271,Tapes,BR,-30.6733,-51.3958,68.23,69,0,9.66,clear sky
272,Guarapari,BR,-20.6667,-40.4975,71.89,94,100,12.37,overcast clouds
273,Turayf,SA,31.6725,38.6637,53.85,82,0,0.0,clear sky
274,Hofn,IS,64.2539,-15.2082,32.25,55,49,14.23,scattered clouds
275,Ferrol,ES,43.4832,-8.2369,54.72,88,19,4.79,few clouds
276,Bereda,ES,43.2686,-7.5406,48.0,91,98,0.74,overcast clouds
277,Sabha,LY,27.0377,14.4283,64.45,55,79,14.81,broken clouds
278,Paris,FR,48.8534,2.3488,45.21,95,90,1.01,mist
279,Mana,GF,5.6592,-53.7767,78.13,90,39,9.69,scattered clouds
280,Araguacu,BR,-12.9306,-49.8264,76.57,89,99,3.8,overcast clouds
281,Bairiki,KI,1.3292,172.9752,84.2,70,75,10.36,broken clouds
282,Barranca,PE,-10.75,-77.7667,65.84,81,98,9.26,overcast clouds
283,Parana,AR,-31.732,-60.5238,91.29,41,0,6.49,clear sky
284,Pingliang,CN,35.5392,106.6861,31.17,55,42,13.13,scattered clouds
285,Phek,IN,25.6667,94.5,42.89,97,20,1.88,few clouds
286,Saint Anthony,US,45.0205,-93.218,44.62,47,1,1.01,clear sky
287,Severo-Kurilsk,RU,50.6789,156.125,36.1,97,100,11.27,light rain
